timestamp,synthetic_price,actual_price,spread
0,58569.560975609755,58707.0,137.43902439024532
100,58570.56101843722,58709.48148148148,138.92046304426185
200,58570.653846153844,58715.5,144.84615384615608
300,58570.96887966805,58716.5,145.53112033195066
400,58575.82146783947,58715.5,139.67853216052754
500,58571.90330156099,58715.5,143.59669843901065
600,58566.5,58706.5,140.0
700,58571.36170212766,58711.5,140.13829787234135
800,58574.769230769234,58714.5,139.73076923076587
900,58572.0,58712.329113924054,140.32911392405367
1000,58582.66483516483,58724.5,141.83516483516723
1100,58583.78571428571,58724.5,140.71428571428987
1200,58586.05128205128,58727.181818181816,141.1305361305349
1300,58586.333333333336,58730.3125,143.97916666666424
1400,58587.15540235082,58728.5,141.34459764917847
1500,58585.5,58728.204545454544,142.70454545454413
1600,58596.0,58738.5,142.5
1700,58597.38524590164,58735.1914893617,137.80624346005789
1800,58594.840000000004,58730.5,135.65999999999622
1900,58590.720588235294,58725.5,134.7794117647063
2000,58588.060070671374,58725.80357142857,137.7435007571985
2100,58587.0,58725.5,138.5
2200,58583.0,58719.5,136.5
2300,58580.950000000004,58720.045454545456,139.0954545454515
2400,58582.74137931035,58717.5,134.75862068965216
2500,58583.24203821656,58719.5,136.25796178344171
2600,58582.095588235294,58718.5,136.4044117647063
2700,58582.5,58716.865853658535,134.36585365853534
2800,58581.762589928054,58714.82352941176,133.06093948370835
2900,58587.19696969697,58725.5,138.30303030303185
3000,58584.01465201465,58719.17391304348,135.15926102882804
3100,58586.5,58724.27272727273,137.77272727272793
3200,58588.5,58727.5,139.0
3300,58588.0,58727.5,139.5
3400,58593.20401493931,58724.5,131.29598506069306
3500,58594.959548482606,58720.5,125.5404515173941
3600,58596.88961038961,58718.19736842105,121.30775803144206
3700,58595.5,58719.25,123.75
3800,58595.708333333336,58711.14864864865,115.44031531531073
3900,58597.0,58716.5,119.5
4000,58597.0,58716.5,119.5
4100,58595.833333333336,58717.17741935484,121.34408602150506
4200,58598.792079207924,58722.5,123.70792079207604
4300,58599.71929824561,58720.5,120.78070175438916
4400,58600.346153846156,58716.82608695652,116.47993311036407
4500,58601.0,58719.5,118.5
4600,58600.691947336185,58719.5,118.80805266381503
4700,58598.332214765105,58717.76829268293,119.43607791782415
4800,58598.95112781955,58718.77631578947,119.82518796992372
4900,58598.7071668533,58719.5,120.79283314669738
5000,58595.868624772316,58716.5,120.63137522768375
5100,58598.18493150685,58721.5,123.31506849315338
5200,58595.93248175182,58720.19298245614,124.26050070431666
5300,58595.19696969697,58710.5,115.30303030303185
5400,58597.06051587302,58711.5,114.43948412698228
5500,58597.5121653459,58713.5,115.98783465410088
5600,58595.15,58713.74683544304,118.59683544303698
5700,58591.36713286713,58708.63157894737,117.26444608023303
5800,58593.5,58712.80263157895,119.3026315789466
5900,58590.88311827957,58714.3,123.4168817204336
6000,58592.64102564102,58720.79069767442,128.1496720333962
6100,58592.0,58717.78333333333,125.78333333333285
6200,58588.24538288288,58715.166666666664,126.92128378378402
6300,58589.5,58717.166666666664,127.66666666666424
6400,58587.90714285714,58714.1875,126.28035714285943
6500,58587.0,58719.5,132.5
6600,58589.486754966885,58723.5,134.0132450331148
6700,58589.8,58727.5,137.6999999999971
6800,58587.788732394365,58723.5,135.71126760563493
6900,58589.375,58723.5,134.125
7000,58589.14661654135,58722.19512195122,133.04850540986808
7100,58599.171428571426,58735.5,136.32857142857392
7200,58604.10088691796,58737.81481481482,133.7139278968607
7300,58605.57866972477,58740.72727272727,135.1486030025044
7400,58604.48181818182,58739.5,135.0181818181809
7500,58600.3828125,58731.78846153846,131.40564903846098
7600,58599.1935483871,58734.5,135.30645161290158
7700,58593.0,58727.5,134.5
